relative_time,BarometerSensor
8636,1022.2984008789062
8717,1022.3270874023438
8798,1022.3158569335938
8836,1022.308837890625
8919,1022.3067016601562
8997,1022.3181762695312
9037,1022.305419921875
9117,1022.30078125
9199,1022.3156127929688
9237,1022.3052368164062
9317,1022.3198852539062
9397,1022.3213500976562
9437,1022.3118286132812
9520,1022.3192138671875
9597,1022.3245239257812
9636,1022.34130859375
9721,1022.2984008789062
9797,1022.3115844726562
9836,1022.3222045898438
9919,1022.3126220703125
9996,1022.3164672851562
10037,1022.3345336914062
10117,1022.326904296875
10196,1022.3281860351562
10237,1022.3305053710938
10318,1022.32177734375
10397,1022.338134765625
10436,1022.3306884765625
10517,1022.3502807617188
10596,1022.3421630859375
10636,1022.3341064453125
10717,1022.3368530273438
10798,1022.3322143554688
10838,1022.3294677734375
10917,1022.33154296875
10998,1022.3606567382812
11037,1022.33984375
11117,1022.32666015625
11197,1022.3345336914062
11239,1022.3425903320312
11316,1022.3290405273438
11396,1022.331787109375
11436,1022.3319702148438
11516,1022.3275146484375
11597,1022.3243408203125
11637,1022.3253784179688
11716,1022.3207397460938
11797,1022.320068359375
11837,1022.3192138671875
11917,1022.3392333984375
11997,1022.3028564453125
12036,1022.326904296875
12117,1022.3290405273438
12197,1022.313720703125
12237,1022.3409423828125
12317,1022.3062744140625
12398,1022.3154296875
12437,1022.2946166992188
12518,1022.3160400390625
12597,1022.3196411132812
12636,1022.3118286132812
12717,1022.2920532226562
12797,1022.3211669921875
12837,1022.3181762695312
12917,1022.3084106445312
12996,1022.2984008789062
13036,1022.3164672851562
13118,1022.3279418945312
13197,1022.3190307617188
13236,1022.3101196289062
13317,1022.3065185546875
13398,1022.3147583007812
13437,1022.3056640625
13517,1022.2999267578125
13598,1022.2946166992188
13637,1022.329833984375
13717,1022.306884765625
13801,1022.2992553710938
13837,1022.3192138671875
13917,1022.3326416015625
13999,1022.3043823242188
14038,1022.3009643554688
14116,1022.3309326171875
14199,1022.2835083007812
14237,1022.3096923828125
14320,1022.2975463867188
14401,1022.2962646484375
14436,1022.2926635742188
14520,1022.2946166992188
14597,1022.3060913085938
14637,1022.2975463867188
14717,1022.3177490234375
14797,1022.32861328125
14836,1022.313720703125
14918,1022.3336791992188
14997,1022.3101196289062
15036,1022.2731323242188
15125,1022.30859375
15197,1022.2913818359375
15236,1022.299072265625
15318,1022.3077392578125
15397,1022.3077392578125
15437,1022.3028564453125
15517,1022.2950439453125
15597,1022.3302612304688
15638,1022.2952270507812
15717,1022.3003540039062
15798,1022.2837524414062
15836,1022.2969360351562
15917,1022.3150024414062
15998,1022.2814331054688
16037,1022.3222045898438
16117,1022.2655029296875
16198,1022.2933349609375
16238,1022.2843627929688
16317,1022.2756958007812
16397,1022.2586669921875
16437,1022.2191772460938
16517,1022.2221069335938
16597,1022.1828002929688
16636,1022.2119140625
16717,1022.1976928710938
16796,1022.2208251953125
16836,1022.1936645507812
16918,1022.15283203125
16997,1022.1572875976562
17037,1022.1173706054688
17117,1022.1466674804688
17198,1022.151123046875
17237,1022.1165161132812
17317,1022.1077880859375
17397,1022.0980224609375
17437,1022.0827026367188
17517,1022.087158203125
17597,1022.0740356445312
17636,1022.0597534179688
17717,1022.0482788085938
17796,1022.0548706054688
17836,1022.034912109375
17917,1022.0423583984375
18000,1022.0272827148438
18037,1021.9902954101562
18118,1021.9822387695312
18196,1021.9432983398438
18236,1021.9154663085938
18317,1021.9486083984375
18396,1021.9095458984375
18438,1021.9044189453125
18518,1021.8670654296875
18596,1021.8264770507812
18637,1021.838134765625
18717,1021.7763061523438
18804,1021.77587890625
18837,1021.7565307617188
18917,1021.7369995117188
18998,1021.7023315429688
19036,1021.6968383789062
19117,1021.6515502929688
19196,1021.6668701171875
19236,1021.62646484375
19316,1021.62353515625
19397,1021.6050415039062
19436,1021.572509765625
19518,1021.552978515625
19596,1021.5211181640625
19637,1021.51025390625
19721,1021.505126953125
19797,1021.4749755859375
19837,1021.4845581054688
19921,1021.411865234375
19998,1021.41015625
20036,1021.3995361328125
20123,1021.3793334960938
20197,1021.37255859375
20236,1021.35107421875
20317,1021.3296508789062
20397,1021.3062744140625
20436,1021.3026123046875
20517,1021.2809448242188
20597,1021.247802734375
20636,1021.22998046875
20717,1021.2193603515625
20797,1021.1911010742188
20836,1021.174072265625
20918,1021.1521606445312
20997,1021.1530151367188
21039,1021.113525390625
21117,1021.0884399414062
21197,1021.04296875
21237,1021.0476684570312
